date,precipitation_mm,temp_high_C,temp_avg_C,temp_low_C,wind_high_kmh,wind_avg_kmh,wind_low_kmh
2020-09-24,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-25,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-26,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-27,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-28,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-29,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-09-30,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-01,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-02,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-03,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-04,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-05,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-06,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-07,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-08,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-09,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-10,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-11,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-12,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-13,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-14,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-15,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-16,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-17,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-18,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-19,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-20,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-21,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-22,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-23,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-24,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-25,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-26,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-27,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-28,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-29,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-30,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-10-31,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-01,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-02,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-03,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-04,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-05,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-06,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-07,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-08,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-09,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-10,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-11,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-12,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-13,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
2020-11-14,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
